Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
7212b987-21a1-488d-ae8f-e26e8465be50,"2020-05-21, 09:57:21 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail-logs-ming""}]",,us-east-1,,68.108.145.58
965c6404-2c36-4e20-b9e5-b538907a4f3b,"2020-05-21, 09:57:21 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail-logs-ming""}]",,us-east-1,,68.108.145.58
dfc6166e-9623-440a-8205-b53d52e9588a,"2020-05-21, 09:57:21 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:000736207725:trail/Udacity_Trail""}]",,us-east-1,,68.108.145.58
e360ecd8-a79c-46ad-8900-122ec21d0c72,"2020-05-21, 09:57:21 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,68.108.145.58
ebd72d6e-7c02-4647-b7a7-79037cd46071,"2020-05-21, 09:57:21 AM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:000736207725:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail-logs-ming""}]",,us-east-1,,68.108.145.58
af010131-876d-4cc2-8c77-1b9b3489bf44,"2020-05-21, 09:51:18 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,68.108.145.58
339134a3-2483-4b80-ad48-38bd79a4c822,"2020-05-21, 09:50:12 AM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
bf23e80d-f46a-489a-9d9a-324acfd64ffc,"2020-05-21, 09:49:56 AM",Accountant,ConsoleLogin,,,,us-east-1,,68.108.145.58
bedd232d-f9a9-47da-8b6c-1d51cd409727,"2020-05-21, 09:49:33 AM",cloud-devops,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,68.108.145.58
44d916cc-9ea8-4797-b07c-aa689c0354be,"2020-05-21, 09:49:32 AM",cloud-devops,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQAK7BUNWVKHDVARKD""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::000736207725:user/Accountant""}]",,us-east-1,,68.108.145.58
b63e105d-e1e4-4f4b-8444-5bdc7806ae80,"2020-05-21, 09:49:32 AM",cloud-devops,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,68.108.145.58
68efe584-f03f-48f3-8852-133454f6a6db,"2020-05-21, 09:48:11 AM",cloud-devops,ConsoleLogin,,,,us-east-1,,68.108.145.58
09c49433-2c84-4303-a8ab-09db273f97bc,"2020-05-21, 09:46:07 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
562a82e7-b122-40a1-8320-630ad2ddb643,"2020-05-21, 09:45:45 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,68.108.145.58
2761fea9-c9ce-49f3-a181-fabb5a675619,"2020-05-21, 09:43:51 AM",cloud-devops,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,68.108.145.58
5cd71182-f180-470c-a987-54a860d51b87,"2020-05-21, 09:43:50 AM",cloud-devops,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQAK7BUNW7ZLLXXP4S""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::000736207725:user/CloudTrail""}]",,us-east-1,,68.108.145.58
809e67e3-9736-4eec-8011-bdaf55d5178b,"2020-05-21, 09:43:50 AM",cloud-devops,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,68.108.145.58
7c7261b8-e0ec-40c2-8b74-5088e93438c0,"2020-05-21, 09:41:15 AM",cloud-devops,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,68.108.145.58
ec5feb5c-7a72-44d4-a484-2787cd0e7a7c,"2020-05-21, 09:41:15 AM",cloud-devops,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::000736207725:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAQAK7BUNW2AVEGAZFY""}]",,us-east-1,,68.108.145.58
061bb402-33a2-45d7-a1c2-ff6c85e0c224,"2020-05-21, 09:40:41 AM",cloud-devops,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,68.108.145.58
